Title,Uploader,Views,Likes,Comments,Upload Date,Duration (Minutes),URL,Engagement,Days Since Upload,Views Per Day,Main Category,Performance Class,Performance
machine learning for everybody  full course,freecodecamporg,8397276,83764,1800,2022-09-26,233.88,https://www.youtube.com/watch?v=i_LwzRVP7bg,0.0101894947837846,937,8961.874066168622,Machine Learning,High,High
complete machine learning in 6 hours krish naik,krish naik,1124367,19654,466,2022-05-28,397.87,https://www.youtube.com/watch?v=JxgmHe2NyeY,0.0178945130904766,1058,1062.7287334593573,Machine Learning,High,Medium
machine learning full course  learn machine learning 10 hours  machine learning tutorial  edureka,edureka,3336201,59006,1300,2019-09-22,578.53,https://www.youtube.com/watch?v=GwIo3gDZCVQ,0.0180762490029827,2037,1637.8011782032402,Machine Learning,High,Medium
all machine learning algorithms explained in 17 min,infinite codes,661710,29703,242,2024-09-17,16.48,https://www.youtube.com/watch?v=E0Hmnixke2g,0.0452539632165147,215,3077.720930232558,Machine Learning,High,Medium
complete ml machine learning in one shot  semester exam  hindi,knowledgegate by sanchit sir,313207,5279,598,2024-06-09,425.92,https://www.youtube.com/watch?v=2oGsCHlfBUg,0.0187639484430424,315,994.3079365079363,Machine Learning,Medium,Low
machine learning  what is machine learning  introduction to machine learning  2024  simplilearn,simplilearn,4910795,62068,2100,2018-09-19,7.87,https://www.youtube.com/watch?v=ukzFI9rgwfU,0.0130667234124006,2405,2041.9106029106028,Machine Learning,High,Medium
i cant stop reading these machine learning books,nicholas renotte,756165,54628,192,2023-01-24,0.42,https://www.youtube.com/watch?v=vdRp_w9f-qM,0.0724974046669708,817,925.5385556915544,Machine Learning,Medium,Low
all machine learning concepts explained in 22 minutes,infinite codes,140515,7037,74,2024-11-27,22.37,https://www.youtube.com/watch?v=Fa_V9fP2tpU,0.0506066967939365,144,975.7986111111112,Machine Learning,Medium,Low
how selfdriving cars work  the ai behind autonomous vehicles  ai ai machinelearning tesla,scishorts,576,10,1,2025-03-02,0.95,https://www.youtube.com/watch?v=8_rd0U_6EWo,0.0190972222222222,49,11.755102040816327,Autonomous Vehicles,Low,Low
the complete machine learning roadmap,programming with mosh,421741,14835,428,2024-07-18,5.4,https://www.youtube.com/watch?v=7IgVGSaQPaw,0.0361904581247732,276,1528.0471014492753,Machine Learning,High,Medium
mit introduction to deep learning  6s191,alexander amini,31694,1847,95,2025-03-03,69.42,https://www.youtube.com/watch?v=alfdI7S6wCY,0.061273427147094,48,660.2916666666666,Deep Learning,Medium,Low
deep learning  what is deep learning  deep learning tutorial for beginners  2023  simplilearn,simplilearn,1453498,24064,1000,2019-06-03,5.85,https://www.youtube.com/watch?v=6M5VXKLf4D4,0.0172439177762886,2148,676.6750465549349,Deep Learning,Medium,Low
