Title,Uploader,Views,Likes,Comments,Upload Date,Duration (Seconds),Duration (Minutes),Tags,URL
Machine Learning for Everybody – Full Course,freeCodeCamp.org,8397276,83764,1800,26-09-2022,14033,233.88,,https://www.youtube.com/watch?v=i_LwzRVP7bg
Complete Machine Learning In 6 Hours| Krish Naik,Krish Naik,1124367,19654,466,28-05-2022,23872,397.87,"yt:cc=on, complete machine learning algorithms, AI Vs ML vs DL vs Data Science, Regression And Classification, Linear Regression Algorithm, Logistic Regression Algorithm, Linear Regression Practical Implementation, Ridge And Lasso Regression Practical Implementation, Naive Baye's Algorithms, Decision Tree Classification Algorithms, Hierarichal Clustering Algorithms, Silhoutte Clustering, krish naik complete machine learning playlist",https://www.youtube.com/watch?v=JxgmHe2NyeY
Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka,edureka!,3336201,59006,1300,22-09-2019,34712,578.53,"yt:cc=on, Machine Learning Full Course, machine learning, Machine Learning tutorial, learn machine learning, machine learning for beginners, Machine Learning tutorial for beginners, machine learning for beginner to advance, machine learning course, machine learning complete course, machine learning python, machine learning algorithms, edureka, edureka machine learning, edureka data science, edureka python, what is machine learning, machine learning edureka",https://www.youtube.com/watch?v=GwIo3gDZCVQ
All Machine Learning algorithms explained in 17 min,Infinite Codes,661710,29703,242,17-09-2024,989,16.48,"machine learning algorithms, machine learning, machine learning tutorial, what is machine learning, machine learning models explained, machine learning algorithms explained, machine learning basics, machine learning explained in 10 minutes, machine learning algorithms in python, machine learning tutorial for beginners, machine learning course, machine learning python, algorithms, introduction to machine learning, complete machine learning algorithms, data science, deep learning",https://www.youtube.com/watch?v=E0Hmnixke2g
Complete ML Machine Learning in one shot | Semester Exam | Hindi,KnowledgeGATE by Sanchit Sir,313207,5279,598,09-06-2024,25555,425.92,"knowledgegate, knowledge gate, knowledge gate sanchit jain, sanchit jain, GATE, NET, University Exam preparation, machine learning full course, machine learning playlist, machine learning rgpv, machine learning course, machine learning techniques aktu, machine learning techniques aktu one shot, machine learning one shot, machine learning one shot aktu, machine learning one shot in hindi, machine learning one shot sanchit jain, machine learning one shot knowledge gate",https://www.youtube.com/watch?v=2oGsCHlfBUg
Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2024 | Simplilearn,Simplilearn,4910795,62068,2100,19-09-2018,472,7.87,"2022, 2023, ML, Machine Learning, basics of machine learning, cloud and machine learning, fundamentals of machine learning, gcp maching learning, getting started with machine learning, introduction to machine learning, machine learning, machine learning basics, machine learning for beginners, machine learning tutorial for beginners, machine learning with gcp, simplilearn, simplilearn machine learning, what is machine learning",https://www.youtube.com/watch?v=ukzFI9rgwfU
I can't STOP reading these Machine Learning Books!,Nicholas Renotte,756165,54628,192,24-01-2023,25,0.42,,https://www.youtube.com/watch?v=vdRp_w9f-qM
All Machine Learning Concepts Explained in 22 Minutes,Infinite Codes,140515,7037,74,27-11-2024,1342,22.37,"machine learning, machine learning tutorial, machine learning course, machine learning tutorial for beginners, machine learning python, machine learning algorithms, what is machine learning, machine learning for beginners, learn machine learning, machine learning basics, python machine learning, machine learning full course, introduction to machine learning, learn machine learning with python, machine learning explained, machine learning terms, ml terms, data science terms",https://www.youtube.com/watch?v=Fa_V9fP2tpU
How Self-Driving Cars Work – The AI Behind Autonomous Vehicles! 🤖 #AI #ai #machinelearning #tesla,Scishorts,576,10,1,02-03-2025,57,0.95,,https://www.youtube.com/watch?v=8_rd0U_6EWo
The Complete Machine Learning Roadmap,Programming with Mosh,421741,14835,428,18-07-2024,324,5.4,"machine learning roadmap, machine learning, ml roadmap, ml career path, complete machine learning roadmap, machine learning python, roadmap for machine learning, code with mosh, programming with mosh, mosh hamedani, programming, coding, machine learning engineer, ai engineer roadmap, data science, tech career",https://www.youtube.com/watch?v=7IgVGSaQPaw
MIT Introduction to Deep Learning | 6.S191,Alexander Amini,31694,1847,95,03-03-2025,4165,69.42,"deep learning, mit, artificial intelligence, neural networks, machine learning, introduction to deep learning, intro to deep learning, 6s191, 6.s191, mit 6.s191, mit 6s191, mit deep learning, alexander amini, amini, lecture 1, ava soleimany, tensorflow, computer vision, deepmind, openai, basics, introduction, deeplearning, tensorflow tutorial, what is deep learning, deep learning basics, deep learning python, andrew ng",https://www.youtube.com/watch?v=alfdI7S6wCY
Deep Learning | What is Deep Learning? | Deep Learning Tutorial For Beginners | 2023 | Simplilearn,Simplilearn,1453498,24064,1000,03-06-2019,351,5.85,"Deep Learning, what is Deep Learning, Deep Learning ai, what is Deep Learning and Machine Learning, what is Deep Learning in Artificial Intelligence, Deep Learning tutorial, what is Deep Learning and neural networks, what is Deep Learning in simple explanation, what is Deep Learning and how it works, introduction to Deep Learning, Deep Learning explained, Deep Learning neural networks explained, Deep Learning in 5 minutes, simplilearn Deep Learning, simplilearn",https://www.youtube.com/watch?v=6M5VXKLf4D4
But what is a neural network? | Deep learning chapter 1,3Blue1Brown,18755898,457376,7800,05-10-2017,1121,18.68,,https://www.youtube.com/watch?v=aircAruvnKk
Deep Learning Indepth Tutorials In 5 Hours With Krish Naik,Krish Naik,409417,8714,431,22-05-2022,20540,342.33,"yt:cc=on, deep learning indepth tutorials, ann tutorial, cnn tutorial, loss function tutorials, optimizers tutorials in depth intuition",https://www.youtube.com/watch?v=d2kxUVwWWwU
Deep Learning Crash Course for Beginners,freeCodeCamp.org,878747,20595,323,30-07-2020,5138,85.63,"deep, learning, deep learning tutorial, python, machine learning tutorial, deep learning, deeplearning, what is deep learning, deep learning tutorial for beginners, deep learning tensorflow, deep learning full course, deep learning introduction, intro to machine learning, basics of deep learning, deep learning crash course",https://www.youtube.com/watch?v=VyWAvY2CF9c
PyTorch for Deep Learning & Machine Learning – Full Course,freeCodeCamp.org,2280290,49078,1300,06-10-2022,92245,1537.42,,https://www.youtube.com/watch?v=V_xro1bcAuA
Deep Learning Full Course - Learn Deep Learning in 6 Hours | Deep Learning Tutorial | Edureka,edureka!,573942,9779,154,08-09-2019,21746,362.43,"yt:cc=on, Deep Learning Full Course, Deep Learning Tutorial, deep learning tutorial for beginners, deep learning for beginners, tensorflow tutorial, tensorflow tutorial for beginners, tensorflow deep learning tutorial, deep learning complete tutorial, deep learning algorithms, deep learning applications, deep learning frameworks, deep learning training, edureka, deep learning, deep learning edureka, what is deep learning, deep learning with tensorflow, tensorflow edureka",https://www.youtube.com/watch?v=DooxDIRAkPA
MIT Introduction to Deep Learning (2024) | 6.S191,Alexander Amini,956615,20468,418,29-04-2024,4197,69.95,"deep learning, mit, artificial intelligence, neural networks, machine learning, introduction to deep learning, intro to deep learning, 6s191, 6.s191, mit 6.s191, mit 6s191, mit deep learning, alexander amini, amini, lecture 1, ava soleimany, tensorflow, computer vision, deepmind, openai, basics, introduction, deeplearning, tensorflow tutorial, what is deep learning, deep learning basics, deep learning python, andrew ng",https://www.youtube.com/watch?v=ErnWZxJovaM
IIT Kanpur Certification Program | PYTHON for AIML and Deep Learning | 1st to 27th June 2025 |,Online Courses IIT Kanpur,46,0,0,02-03-2025,56,0.93,,https://www.youtube.com/watch?v=dh2qi_1N0Q0
Deep Learning With PyTorch - Full Course,Patrick Loeber,802972,16791,473,24-02-2021,16542,275.7,"Python, Machine Learning, ML, PyTorch, Deep Learning, DL, Python DL Tutorial, PyTorch Tutorial, Tensorboard, PyTorch Course, Neural Network, Course, CNN, Linear Regression, Logistic Regression, DataLoader, Optimizer, Loss, Crossentropy, Activation Function, Softmax, Transfer Learning, Model, Training",https://www.youtube.com/watch?v=c36lUUr864M
What Is Artificial Intelligence? | Artificial Intelligence (AI) In 10 Minutes | Edureka,edureka!,1716979,32876,401,08-05-2019,675,11.25,"yt:cc=on, artificial intelligence, ai, AI In 10 Minutes, learn artificial intelligence, what is artificial intelligence, types of artificial intelligence, artificial intelligence tutorial, ai tutorial, what is ai, introduction to artificial intelligence, artificial intelligence explained, ai explained, ai applications, introduction to ai, what is ai technology, edureka, ai edureka, deep learning edureka, artificial intelligence for beginners, Artificial intelligence edureka",https://www.youtube.com/watch?v=oV74Najm6Nc
What Is AI? | Artificial Intelligence | What is Artificial Intelligence? | AI In 5 Mins |Simplilearn,Simplilearn,2997709,35521,2800,30-04-2019,328,5.47,"what is ai, artificial intelligence, what is artificial inteliigence, ai for beginners, artificial intelligence applications, artificial intelligence basics, artificial intelligence explained, artificial intelligence for beginners, artificial intelligence tutorial, introduction to ai, introduction to artificial intelligence, machine learning, simplilearn, types of artificial intelligence, what is ai technology, what is artificial intelligence, what is deep learning",https://www.youtube.com/watch?v=ad79nYk2keg
What is Artificial Intelligence? | ChatGPT | The Dr Binocs Show | Peekaboo Kidz,Peekaboo Kidz,1573716,9098,0,13-01-2023,342,5.7,"dr binocs, peekaboo kidz, dr bincos what is ai, dr binocs artificial intelligence, dr binocs what is artificial intelligence, peekaboo kidz what is ai, dr binocs chat gpt, what is ai, chatgpt, chat gpt, artificial intelligence, ai, machine learning, benefits of ai, uses of ai in our daily life, benefits of artificial intelligence, uses of artificial intelligence, dr binocs show, the dr binocs show, binocs, dr binocs robot, robot, videos for kids, online learning, peekaboo kids",https://www.youtube.com/watch?v=ttIOdAdQaUE
Complete AI Artificial Intelligence in one shot | Semester Exam | Hindi,KnowledgeGATE by Sanchit Sir,418539,7409,851,30-04-2024,20686,344.77,"knowledge gate sanchit jain, sanchit jain, University Exam preparation, artificial intelligence, artificial intelligence full course, artificial intelligence course, artificial intelligence one, artificial intelligence one shot, artificial intelligence one shot revision, artificial intelligence one shot for semester exam, class 12 artificial intelligence one shot, class 10th artificial intelligence one shot, ai one shot aktu, ai one shot class 12, ai one shot class 9",https://www.youtube.com/watch?v=yiXAmkimZRQ
Artificial Intelligence (Got 1st prize ),EASY LEARN: Lata A. Patil,190611,2917,0,01-04-2023,81,1.35,,https://www.youtube.com/watch?v=sZzszp7wOPE
Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners | Edureka,edureka!,4151225,80489,925,02-06-2019,17570,292.83,"yt:cc=on, Artificial Intelligence Full Course, artificial intelligence, Artificial Intelligence Tutorial for Beginners, Artificial Intelligence Tutorial, Artificial Intelligence course, artificial intelligence crash course, artificial intelligence course for beginners, artificial intelligence training, edureka, what is artificial intelligence, artificial intelligence edureka, artificial intelligence for beginners, ai tutorial, Ai tutorial for beginners",https://www.youtube.com/watch?v=JMUxmLyrhSk
What is Artificial Intelligence With Full Information? – [Hindi] – Quick Support,Quick Support,3114441,86782,2100,07-11-2020,649,10.82,"What is Artificial Intelligence With Full Information?, What is Artificial Intelligence in Hindi?, Artificial Intelligence Kya Hain?, What is artificial intelligence with examples? What is artificial intelligence in computer?, Artificial intelligence Animation Video, Benefits of artificial intelligence, Artificial intelligence future, Who started AI?, Where is Artificial Intelligence used?, What is the disadvantage of Artificial Intelligence?, Types of artificial intelligence",https://www.youtube.com/watch?v=iyb38dzetRk
Harvard CS50’s Artificial Intelligence with Python – Full University Course,freeCodeCamp.org,3156478,89407,1300,10-08-2023,42682,711.37,,https://www.youtube.com/watch?v=5NgNicANyqM
"Getting Rich, Artificial Intelligence, Future Predictions & Risks ft. SHARK TANK INDIA Season 4",Him-eesh Madaan,985203,34665,984,21-12-2024,3209,53.48,"shark tank india season 4, anupam mittal, ritesh agarwal, aman gupta, become rich, earn money, mind power, how to become rich, how to become successful, how to become a millionaire, get rich, motivational video for success, habits of successful people, indian billionaires, Successful habits of rich people, How to start a business in india, how to earn money, success motivation, how to become rich in 20's, himeesh madaan",https://www.youtube.com/watch?v=J3mfInWmHFw
What is Mistral AI? #ai #aitrending #artificialintelligence,Deep Ai,410,9,1,02-03-2025,18,0.3,"web designing, web developement, wordpress website, how to install wordpress, cpanel, wordpress installing in cpanel, what is wordpress",https://www.youtube.com/watch?v=fEixnkCTN3s
What is Data Science?,IBM Technology,655754,14490,271,13-06-2022,470,7.83,"IBM, IBM Cloud, Data Science, DataScience, Data Fabric, Data Mining, Data CLeaning, Data, Machine Learning, ML, Advanced Analytics, Computer Science, Math, Mathematics, Business Analyst, data engineer, data scientist, business expertise, business solutions, noisy data, business problems, Luv aggarwal, Visualization, Exploration, Data Exploration, Lightboard",https://www.youtube.com/watch?v=RBSUwFGa6Fk
How to learn Data Science? In Short,Apna College,850456,65472,239,19-10-2023,47,0.78,"C++, C++ coding, C++ full course, C++ placement course, how to code, programming, college placement course, C++ language, java, java language, java full course, java placement, java code, java coding",https://www.youtube.com/watch?v=JIbfzmt2LuY
Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,Simplilearn,4350676,61408,1100,04-12-2018,278,4.63,"data science, what is data science, data science for beginners, data scientist, data science tutorial, data science in 5 minutes, what is data science for beginners, data science applications, introduction to data science, data science with python, what does data scientist do, A Day In The Life Of A Data Scientist, data science explained, learn data science, data science tutorial for beginners, data science 101, simplilearn data science, simplilearn",https://www.youtube.com/watch?v=X3paOmcrTjQ
Data Analytics vs Data Science,IBM Technology,615680,12689,220,08-11-2023,390,6.5,"IBM, IBM Cloud",https://www.youtube.com/watch?v=dcXqhMqhZUo
